bdt_score,label,weight,process
1.6634105e-05,0,24064.7587299,z_production
0.00034049587,0,6.694889944457795,zzj
0.0021739968,0,4.824851,aa_ttbar
0.45815733,0,6.694889944457795,zzj
0.017242236,0,994.65,aa_ww
0.5840418,0,994.65,aa_ww
0.14897515,0,994.65,aa_ww
0.026982216,1,1097.28,FM2_Lambda4
3.6169688e-05,0,6.694889944457795,zzj
0.7019763,1,1097.28,FM2_Lambda4
7.326138e-06,0,191028.8,w_production
1.259726e-05,0,191028.8,w_production
0.0012393644,0,994.65,aa_ww
0.01464558,0,1608.0595320336197,wwj
0.00020478165,0,1608.0595320336197,wwj
0.10178546,0,994.65,aa_ww
3.825897e-06,0,191028.8,w_production
0.0006249981,0,994.65,aa_ww
0.315232,0,994.65,aa_ww
0.00015221217,0,1608.0595320336197,wwj
0.02195741,0,657.64,inclusive_ttbar
0.097231105,0,994.65,aa_ww
0.7668028,0,994.65,aa_ww
0.0011469191,0,4.824851,aa_ttbar
0.00026163546,0,24064.7587299,z_production
0.050754145,0,6.694889944457795,zzj
8.0085105e-05,0,191028.8,w_production
0.0035744198,0,191028.8,w_production
0.00038033334,0,657.64,inclusive_ttbar
4.152182e-06,0,251510.0,aa_tautau
0.31865403,0,6.694889944457795,zzj
0.00040386754,0,237.85292894910495,wzj
0.0001701381,0,657.64,inclusive_ttbar
0.0022949576,0,4.824851,aa_ttbar
0.6435382,1,1097.28,FM2_Lambda4
4.205752e-05,0,657.64,inclusive_ttbar
9.349022e-05,0,237.85292894910495,wzj
0.00015309133,0,4.824851,aa_ttbar
0.00050846004,0,4.824851,aa_ttbar
3.2703327e-05,0,657.64,inclusive_ttbar
9.45558e-05,0,6.694889944457795,zzj
0.22377536,0,4.824851,aa_ttbar
0.0007879362,0,4.824851,aa_ttbar
3.6623504e-05,0,6.694889944457795,zzj
4.8999023e-05,0,251510.0,aa_tautau
0.02138145,0,4.824851,aa_ttbar
0.00068408594,0,237.85292894910495,wzj
3.157334e-05,0,251510.0,aa_tautau
4.923321e-05,0,1608.0595320336197,wwj
0.002875961,1,1097.28,FM2_Lambda4
0.00017048366,0,237.85292894910495,wzj
0.00048455477,0,657.64,inclusive_ttbar
2.1716152e-05,0,191028.8,w_production
3.3146767e-05,0,237.85292894910495,wzj
4.5642435e-05,0,191028.8,w_production
1.655163e-05,0,237.85292894910495,wzj
